,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2966,2021-05-15,1.5366272919674966,1.4666247506274517,1.6098647472933565,1.5366272919674966,1.5366272919674966,-0.0031481717440154447,-0.0031481717440154447,-0.0031481717440154447,0.00536156075011636,0.00536156075011636,0.00536156075011636,-0.008509732494131804,-0.008509732494131804,-0.008509732494131804,0.0,0.0,0.0,1.5334791202234812
2967,2021-05-16,1.5366880341481781,1.4584713207123279,1.607938352037117,1.5366878657801513,1.5366995334605043,-0.0031790563415224848,-0.0031790563415224848,-0.0031790563415224848,0.005361563553647054,0.005361563553647054,0.005361563553647054,-0.008540619895169538,-0.008540619895169538,-0.008540619895169538,0.0,0.0,0.0,1.5335089778066557
2968,2021-05-17,1.5367487763288599,1.4580950297616884,1.6054471344976973,1.5366238935390095,1.5368241027360028,-0.010408537769643407,-0.010408537769643407,-0.010408537769643407,-0.0018915950871363969,-0.0018915950871363969,-0.0018915950871363969,-0.00851694268250701,-0.00851694268250701,-0.00851694268250701,0.0,0.0,0.0,1.5263402385592164
2969,2021-05-18,1.5368095185095416,1.4539243565514364,1.5930647734547863,1.5365164846873554,1.5369452973468793,-0.010460126992614486,-0.010460126992614486,-0.010460126992614486,-0.0020221672367792165,-0.0020221672367792165,-0.0020221672367792165,-0.00843795975583527,-0.00843795975583527,-0.00843795975583527,0.0,0.0,0.0,1.526349391516927
2970,2021-05-19,1.5368702606902231,1.4587216541566341,1.593856395407862,1.5363189244139026,1.5370667733456278,-0.010831736715281131,-0.010831736715281131,-0.010831736715281131,-0.0025276056478947813,-0.0025276056478947813,-0.0025276056478947813,-0.00830413106738635,-0.00830413106738635,-0.00830413106738635,0.0,0.0,0.0,1.526038523974942
2971,2021-05-20,1.536931002870905,1.4611077184920804,1.6004717548222858,1.53609555844985,1.537223493109418,-0.010436423137673527,-0.010436423137673527,-0.010436423137673527,-0.0023193288407798167,-0.0023193288407798167,-0.0023193288407798167,-0.008117094296893711,-0.008117094296893711,-0.008117094296893711,0.0,0.0,0.0,1.5264945797332314
2972,2021-05-21,1.5369917450515866,1.460452055957814,1.6019353699594279,1.5355539845448372,1.5373810433738495,-0.009842041344413934,-0.009842041344413934,-0.009842041344413934,-0.001962427491156386,-0.001962427491156386,-0.001962427491156386,-0.007879613853257549,-0.007879613853257549,-0.007879613853257549,0.0,0.0,0.0,1.5271497037071726
2973,2021-05-22,1.5370524872322682,1.4646186343317025,1.6007472650542456,1.5350684332327593,1.5377826795243619,-0.002233943342527222,-0.002233943342527222,-0.002233943342527222,0.0053615607500912725,0.0053615607500912725,0.0053615607500912725,-0.007595504092618495,-0.007595504092618495,-0.007595504092618495,0.0,0.0,0.0,1.534818543889741
2974,2021-05-23,1.53711322941295,1.472610463452734,1.6143250859073626,1.5347348126786302,1.5379954849810769,-0.0019079656959745085,-0.0019079656959745085,-0.0019079656959745085,0.005361563553638054,0.005361563553638054,0.005361563553638054,-0.007269529249612563,-0.007269529249612563,-0.007269529249612563,0.0,0.0,0.0,1.5352052637169755
2975,2021-05-24,1.5371739715936314,1.4642840700402735,1.5977486259626712,1.5344752886424222,1.5382079985923214,-0.00879887819603314,-0.00879887819603314,-0.00879887819603314,-0.0018915950871469646,-0.0018915950871469646,-0.0018915950871469646,-0.0069072831088861746,-0.0069072831088861746,-0.0069072831088861746,0.0,0.0,0.0,1.5283750933975984
2976,2021-05-25,1.537234713774313,1.4521687619066785,1.605661764812784,1.5340539448181458,1.5384480413021682,-0.008537219121816717,-0.008537219121816717,-0.008537219121816717,-0.002022167236780404,-0.002022167236780404,-0.002022167236780404,-0.0065150518850363125,-0.0065150518850363125,-0.0065150518850363125,0.0,0.0,0.0,1.5286974946524963
2977,2021-05-26,1.5372954559549947,1.457003589812491,1.6047617263889706,1.5336154103439021,1.5387507338719142,-0.008627269768982095,-0.008627269768982095,-0.008627269768982095,-0.00252760564789405,-0.00252760564789405,-0.00252760564789405,-0.0060996641210880435,-0.0060996641210880435,-0.0060996641210880435,0.0,0.0,0.0,1.5286681861860125
2978,2021-05-27,1.5373561981356765,1.4519899345670761,1.6000070109159776,1.5333200489652086,1.539058292463839,-0.007987660492138882,-0.007987660492138882,-0.007987660492138882,-0.002319328840781653,-0.002319328840781653,-0.002319328840781653,-0.005668331651357232,-0.005668331651357232,-0.005668331651357232,0.0,0.0,0.0,1.5293685376435375
2979,2021-05-28,1.537416940316358,1.4629561794580834,1.601336185197558,1.5330512176001878,1.5393658510557637,-0.007190913291047226,-0.007190913291047226,-0.007190913291047226,-0.0019624274911566424,-0.0019624274911566424,-0.0019624274911566424,-0.005228485799890583,-0.005228485799890583,-0.005228485799890583,0.0,0.0,0.0,1.5302260270253107
2980,2021-05-29,1.5374776824970398,1.4627554771892863,1.610622457730929,1.5327823862351666,1.5396734096476885,0.0005739477508887936,0.0005739477508887936,0.0005739477508887936,0.005361560750100306,0.005361560750100306,0.005361560750100306,-0.004787612999211513,-0.004787612999211513,-0.004787612999211513,0.0,0.0,0.0,1.5380516302479286
2981,2021-05-30,1.5375384246777215,1.4697076684812558,1.600184461958713,1.5325135548701456,1.5399809682396137,0.001008469635738638,0.001008469635738638,0.001008469635738638,0.005361563553635921,0.005361563553635921,0.005361563553635921,-0.004353093917897283,-0.004353093917897283,-0.004353093917897283,0.0,0.0,0.0,1.5385468943134601
