,trend,residual,seasonality
0,1.5071,0.0,0.0
1,1.5013,0.0,0.0
2,1.4935,0.0,0.0
3,1.4869,0.0,0.0
4,1.4813,0.0,0.0
5,1.485,0.0,0.0
6,1.5003,0.0,0.0
7,1.5071,0.0,0.0
8,1.4962,0.0,0.0
9,1.4843,0.0,0.0
10,1.4809,0.0,0.0
11,1.4765,0.0,0.0
12,1.4739,0.0,0.0
13,1.4754,0.0,0.0
14,1.4828,0.0,0.0
15,1.4964,0.0,0.0
16,1.4975,0.0,0.0
17,1.4956,0.0,0.0
18,1.4915,0.0,0.0
19,1.4893,0.0,0.0
20,1.4831,0.0,0.0
21,1.4792,0.0,0.0
22,1.4772,0.0,0.0
23,1.4764,0.0,0.0
24,1.4729,0.0,0.0
25,1.4604,0.0,0.0
26,1.4682,0.0,0.0
27,1.4721,0.0,0.0
28,1.4591,0.0,0.0
29,1.4379,0.0,0.0
30,1.4316,0.0,0.0
31,1.4268,0.0,0.0
32,1.4377,0.0,0.0
33,1.423,0.0,0.0
34,1.4183,0.0,0.0
35,1.4156,0.0,0.0
36,1.4177,0.0,0.0
37,1.4262,0.0,0.0
38,1.4266,0.0,0.0
39,1.4374,0.0,0.0
40,1.4343,0.0,0.0
41,1.4135,0.0,0.0
42,1.4097,0.0,0.0
43,1.4127,0.0,0.0
44,1.4004,0.0,0.0
45,1.4036,0.0,0.0
46,1.4011,0.0,0.0
47,1.396,0.0,0.0
48,1.4009,0.0,0.0
49,1.4012,0.0,0.0
50,1.4015,0.0,0.0
51,1.3933,0.0,0.0
52,1.3965,0.0,0.0
53,1.3871,0.0,0.0
54,1.38,0.0,0.0
55,1.3769,0.0,0.0
56,1.3802,0.0,0.0
57,1.3718,0.0,0.0
58,1.3658,0.0,0.0
59,1.3605,0.0,0.0
60,1.3777,0.0,0.0
61,1.3764,0.0,0.0
62,1.3683,0.0,0.0
63,1.372,0.0,0.0
64,1.37,0.0,0.0
65,1.3657,0.0,0.0
66,1.3506,0.0,0.0
67,1.3416,0.0,0.0
68,1.3413,0.0,0.0
69,1.3387,0.0,0.0
70,1.3538,0.0,0.0
71,1.363,0.0,0.0
72,1.3626,0.0,0.0
73,1.3639,0.0,0.0
74,1.3607,0.0,0.0
75,1.3668,0.0,0.0
76,1.3683,0.0,0.0
77,1.3413,0.0,0.0
78,1.3384,0.0,0.0
79,1.3296,0.0,0.0
80,1.3381,0.0,0.0
81,1.3405,0.0,0.0
82,1.3396,0.0,0.0
83,1.3341,0.0,0.0
84,1.3304,0.0,0.0
85,1.3531,0.0,0.0
86,1.3336,0.0,0.0
87,1.3301,0.0,0.0
88,1.3209,0.0,0.0
89,1.3294,0.0,0.0
90,1.3306,0.0,0.0
91,1.3079,0.0,0.0
92,1.2932,0.0,0.0
93,1.2867,0.0,0.0
94,1.2788,0.0,0.0
95,1.2799,0.0,0.0
96,1.278,0.0,0.0
97,1.2672,0.0,0.0
98,1.2967,0.0,0.0
99,1.3345,0.0,0.0
100,1.3318,0.0,0.0
101,1.3143,0.0,0.0
102,1.3184,0.0,0.0
103,1.3029,0.0,0.0
104,1.2967,0.0,0.0
105,1.2933,0.0,0.0
106,1.2859,0.0,0.0
107,1.2901,0.0,0.0
108,1.2727,0.0,0.0
109,1.2641,0.0,0.0
110,1.2725,0.0,0.0
111,1.2641,0.0,0.0
112,1.2545,0.0,0.0
113,1.2521,0.0,0.0
114,1.2481,0.0,0.0
115,1.251,0.0,0.0
116,1.2637,0.0,0.0
117,1.2641,0.0,0.0
118,1.2616,0.0,0.0
119,1.2725,0.0,0.0
120,1.2655,0.0,0.0
121,1.261,0.0,0.0
122,1.2627,0.0,0.0
123,1.2799,0.0,0.0
124,1.2869,0.0,0.0
125,1.2818,0.0,0.0
126,1.2717,0.0,0.0
127,1.285,0.0,0.0
128,1.3028,0.0,0.0
129,1.3256,0.0,0.0
130,1.3351,0.0,0.0
131,1.3338,0.0,0.0
132,1.33,0.0,0.0
133,1.3236,0.0,0.0
134,1.3241,0.0,0.0
135,1.3056,0.0,0.0
136,1.3052,0.0,0.0
137,1.3119,0.0,0.0
138,1.3147,0.0,0.0
139,1.3434,0.0,0.0
140,1.368,0.0,0.0
141,1.3649,0.0,0.0
142,1.3437,0.0,0.0
143,1.3382,0.0,0.0
144,1.3372,0.0,0.0
145,1.3374,0.0,0.0
146,1.3409,0.0,0.0
147,1.3455,0.0,0.0
148,1.3494,0.0,0.0
149,1.3544,0.0,0.0
150,1.3436,0.0,0.0
151,1.3491,0.0,0.0
152,1.3542,0.0,0.0
153,1.3396,0.0,0.0
154,1.3416,0.0,0.0
155,1.3652,0.0,0.0
156,1.3593,0.0,0.0
157,1.3584,0.0,0.0
158,1.3438,0.0,0.0
159,1.3368,0.0,0.0
160,1.3294,0.0,0.0
161,1.3387,0.0,0.0
162,1.3297,0.0,0.0
163,1.3228,0.0,0.0
164,1.3337,0.0,0.0
165,1.3315,0.0,0.0
166,1.332,0.0,0.0
167,1.3397,0.0,0.0
168,1.3415,0.0,0.0
169,1.3454,0.0,0.0
170,1.3419,0.0,0.0
171,1.343,0.0,0.0
172,1.3499,0.0,0.0
173,1.3457,0.0,0.0
174,1.3508,0.0,0.0
175,1.3397,0.0,0.0
176,1.3332,0.0,0.0
177,1.3293,0.0,0.0
178,1.3192,0.0,0.0
179,1.3129,0.0,0.0
180,1.3151,0.0,0.0
181,1.3235,0.0,0.0
182,1.335,0.0,0.0
183,1.3342,0.0,0.0
184,1.3422,0.0,0.0
185,1.3486,0.0,0.0
186,1.3434,0.0,0.0
187,1.3602,0.0,0.0
188,1.3803,0.0,0.0
189,1.3756,0.0,0.0
190,1.382,0.0,0.0
191,1.3849,0.0,0.0
192,1.3991,0.0,0.0
193,1.407,0.0,0.0
194,1.403,0.0,0.0
195,1.407,0.0,0.0
196,1.4,0.0,0.0
197,1.4054,0.0,0.0
198,1.4094,0.0,0.0
199,1.4166,0.0,0.0
200,1.4094,0.0,0.0
201,1.4069,0.0,0.0
202,1.4064,0.0,0.0
203,1.4011,0.0,0.0
204,1.4141,0.0,0.0
205,1.4118,0.0,0.0
206,1.4181,0.0,0.0
207,1.4184,0.0,0.0
208,1.4266,0.0,0.0
209,1.429,0.0,0.0
210,1.4314,0.0,0.0
211,1.4234,0.0,0.0
212,1.4192,0.0,0.0
213,1.4152,0.0,0.0
214,1.4223,0.0,0.0
215,1.4213,0.0,0.0
216,1.4113,0.0,0.0
217,1.4162,0.0,0.0
218,1.4211,0.0,0.0
219,1.4237,0.0,0.0
220,1.404,0.0,0.0
221,1.3969,0.0,0.0
222,1.388,0.0,0.0
223,1.3787,0.0,0.0
224,1.3702,0.0,0.0
225,1.3819,0.0,0.0
226,1.3714,0.0,0.0
227,1.3781,0.0,0.0
228,1.3866,0.0,0.0
229,1.3924,0.0,0.0
230,1.3928,0.0,0.0
231,1.3878,0.0,0.0
232,1.3685,0.0,0.0
233,1.348,0.0,0.0
234,1.3495,0.0,0.0
235,1.3511,0.0,0.0
236,1.3358,0.0,0.0
237,1.3326,0.0,0.0
238,1.3368,0.0,0.0
239,1.3277,0.0,0.0
240,1.3466,0.0,0.0
241,1.3376,0.0,0.0
242,1.3422,0.0,0.0
243,1.3406,0.0,0.0
244,1.3384,0.0,0.0
245,1.3363,0.0,0.0
246,1.3495,0.0,0.0
247,1.347,0.0,0.0
248,1.3262,0.0,0.0
249,1.3323,0.0,0.0
250,1.3355,0.0,0.0
251,1.3347,0.0,0.0
252,1.3318,0.0,0.0
253,1.3276,0.0,0.0
254,1.3237,0.0,0.0
255,1.3223,0.0,0.0
256,1.3256,0.0,0.0
257,1.3139,0.0,0.0
258,1.3228,0.0,0.0
259,1.3288,0.0,0.0
260,1.3345,0.0,0.0
261,1.3266,0.0,0.0
262,1.3287,0.0,0.0
263,1.3107,0.0,0.0
264,1.2967,0.0,0.0
265,1.2816,0.0,0.0
266,1.2861,0.0,0.0
267,1.285,0.0,0.0
268,1.2944,0.0,0.0
269,1.3209,0.0,0.0
270,1.3237,0.0,0.0
271,1.312,0.0,0.0
272,1.3277,0.0,0.0
273,1.3411,0.0,0.0
274,1.3441,0.0,0.0
275,1.3539,0.0,0.0
276,1.3555,0.0,0.0
277,1.3636,0.0,0.0
278,1.3623,0.0,0.0
279,1.3642,0.0,0.0
280,1.3626,0.0,0.0
281,1.3703,0.0,0.0
282,1.3702,0.0,0.0
283,1.3639,0.0,0.0
284,1.3512,0.0,0.0
285,1.342,0.0,0.0
286,1.3459,0.0,0.0
287,1.3567,0.0,0.0
288,1.3647,0.0,0.0
289,1.3542,0.0,0.0
290,1.3388,0.0,0.0
291,1.3337,0.0,0.0
292,1.3352,0.0,0.0
293,1.336,0.0,0.0
294,1.3394,0.0,0.0
295,1.3514,0.0,0.0
296,1.344,0.0,0.0
297,1.3516,0.0,0.0
298,1.36,0.0,0.0
299,1.3571,0.0,0.0
300,1.3447,0.0,0.0
301,1.3407,0.0,0.0
302,1.3422,0.0,0.0
303,1.3482,0.0,0.0
304,1.3577,0.0,0.0
305,1.3592,0.0,0.0
306,1.359,0.0,0.0
307,1.3506,0.0,0.0
308,1.3472,0.0,0.0
309,1.3453,0.0,0.0
310,1.352,0.0,0.0
311,1.3622,0.0,0.0
312,1.378,0.0,0.0
313,1.377,0.0,0.0
314,1.382,0.0,0.0
315,1.396,0.0,0.0
316,1.3919,0.0,0.0
317,1.393,0.0,0.0
318,1.3824,0.0,0.0
319,1.3842,0.0,0.0
320,1.3814,0.0,0.0
321,1.3767,0.0,0.0
322,1.3745,0.0,0.0
323,1.3725,0.0,0.0
324,1.3745,0.0,0.0
325,1.3712,0.0,0.0
326,1.3754,0.0,0.0
327,1.3705,0.0,0.0
328,1.3766,0.0,0.0
329,1.3712,0.0,0.0
330,1.384,0.0,0.0
331,1.3807,0.0,0.0
332,1.3942,0.0,0.0
333,1.39,0.0,0.0
334,1.3914,0.0,0.0
335,1.3853,0.0,0.0
336,1.3726,0.0,0.0
337,1.371,0.0,0.0
338,1.383,0.0,0.0
339,1.3866,0.0,0.0
340,1.3899,0.0,0.0
341,1.3916,0.0,0.0
342,1.3935,0.0,0.0
343,1.4042,0.0,0.0
344,1.4096,0.0,0.0
345,1.3981,0.0,0.0
346,1.4091,0.0,0.0
347,1.4127,0.0,0.0
348,1.4207,0.0,0.0
349,1.4064,0.0,0.0
350,1.3831,0.0,0.0
351,1.3819,0.0,0.0
352,1.379,0.0,0.0
353,1.365,0.0,0.0
354,1.3708,0.0,0.0
355,1.3674,0.0,0.0
356,1.3805,0.0,0.0
357,1.3842,0.0,0.0
358,1.3826,0.0,0.0
359,1.3849,0.0,0.0
360,1.3788,0.0,0.0
361,1.3733,0.0,0.0
362,1.3768,0.0,0.0
363,1.3776,0.0,0.0
364,1.3831,0.0,0.0
365,1.3988,0.0,0.0
366,1.3956,0.0,0.0
367,1.3943,0.0,0.0
368,1.3992,0.0,0.0
369,1.4136,0.0,0.0
370,1.4316,0.0,0.0
371,1.4285,0.0,0.0
372,1.4314,0.0,0.0
373,1.4284,0.0,0.0
374,1.4127,0.0,0.0
375,1.4062,0.0,0.0
376,1.4072,0.0,0.0
377,1.3993,0.0,0.0
378,1.3873,0.0,0.0
379,1.3953,0.0,0.0
380,1.4017,0.0,0.0
381,1.4021,0.0,0.0
382,1.4011,0.0,0.0
383,1.3972,0.0,0.0
384,1.3954,0.0,0.0
385,1.4029,0.0,0.0
386,1.4089,0.0,0.0
387,1.4106,0.0,0.0
388,1.4002,0.0,0.0
389,1.3975,0.0,0.0
390,1.3926,0.0,0.0
391,1.3972,0.0,0.0
392,1.3887,0.0,0.0
393,1.3824,0.0,0.0
394,1.3769,0.0,0.0
395,1.3721,0.0,0.0
396,1.3592,0.0,0.0
397,1.3493,0.0,0.0
398,1.3599,0.0,0.0
399,1.3584,0.0,0.0
400,1.3497,0.0,0.0
401,1.3536,0.0,0.0
402,1.3449,0.0,0.0
403,1.3477,0.0,0.0
404,1.3613,0.0,0.0
405,1.3612,0.0,0.0
406,1.3617,0.0,0.0
407,1.3698,0.0,0.0
408,1.3638,0.0,0.0
409,1.3599,0.0,0.0
410,1.3752,0.0,0.0
411,1.363,0.0,0.0
412,1.3643,0.0,0.0
413,1.3779,0.0,0.0
414,1.3837,0.0,0.0
415,1.4019,0.0,0.0
416,1.4078,0.0,0.0
417,1.4088,0.0,0.0
418,1.4093,0.0,0.0
419,1.4025,0.0,0.0
420,1.4065,0.0,0.0
421,1.4158,0.0,0.0
422,1.4153,0.0,0.0
423,1.4147,0.0,0.0
424,1.4188,0.0,0.0
425,1.4255,0.0,0.0
426,1.4221,0.0,0.0
427,1.4269,0.0,0.0
428,1.4233,0.0,0.0
429,1.4211,0.0,0.0
430,1.4232,0.0,0.0
431,1.4173,0.0,0.0
432,1.4129,0.0,0.0
433,1.4062,0.0,0.0
434,1.3927,0.0,0.0
435,1.4002,0.0,0.0
436,1.3954,0.0,0.0
437,1.3862,0.0,0.0
438,1.3871,0.0,0.0
439,1.3738,0.0,0.0
440,1.3603,0.0,0.0
441,1.3569,0.0,0.0
442,1.3495,0.0,0.0
443,1.3611,0.0,0.0
444,1.3658,0.0,0.0
445,1.3494,0.0,0.0
446,1.355,0.0,0.0
447,1.3598,0.0,0.0
448,1.3667,0.0,0.0
449,1.3836,0.0,0.0
450,1.3878,0.0,0.0
451,1.3875,0.0,0.0
452,1.3866,0.0,0.0
453,1.3981,0.0,0.0
454,1.4087,0.0,0.0
455,1.4056,0.0,0.0
456,1.3889,0.0,0.0
457,1.404,0.0,0.0
458,1.3889,0.0,0.0
459,1.3944,0.0,0.0
460,1.3906,0.0,0.0
461,1.4014,0.0,0.0
462,1.4038,0.0,0.0
463,1.4029,0.0,0.0
464,1.4061,0.0,0.0
465,1.4011,0.0,0.0
466,1.4061,0.0,0.0
467,1.3947,0.0,0.0
468,1.4025,0.0,0.0
469,1.4002,0.0,0.0
470,1.3994,0.0,0.0
471,1.3979,0.0,0.0
472,1.4136,0.0,0.0
473,1.396,0.0,0.0
474,1.4062,0.0,0.0
475,1.4034,0.0,0.0
476,1.3851,0.0,0.0
477,1.397,0.0,0.0
478,1.3942,0.0,0.0
479,1.3914,0.0,0.0
480,1.4057,0.0,0.0
481,1.3956,0.0,0.0
482,1.3964,0.0,0.0
483,1.3861,0.0,0.0
484,1.3838,0.0,0.0
485,1.3932,0.0,0.0
486,1.3851,0.0,0.0
487,1.3816,0.0,0.0
488,1.3773,0.0,0.0
489,1.3845,0.0,0.0
490,1.3881,0.0,0.0
491,1.4022,0.0,0.0
492,1.4026,0.0,0.0
493,1.3971,0.0,0.0
494,1.3972,0.0,0.0
495,1.3883,0.0,0.0
496,1.3779,0.0,0.0
497,1.3739,0.0,0.0
498,1.3699,0.0,0.0
499,1.3655,0.0,0.0
500,1.3664,0.0,0.0
501,1.3639,0.0,0.0
502,1.3538,0.0,0.0
503,1.3539,0.0,0.0
504,1.3634,0.0,0.0
505,1.3629,0.0,0.0
506,1.3526,0.0,0.0
507,1.3472,0.0,0.0
508,1.3489,0.0,0.0
509,1.3466,0.0,0.0
510,1.3532,0.0,0.0
511,1.3489,0.0,0.0
512,1.3475,0.0,0.0
513,1.3384,0.0,0.0
514,1.3321,0.0,0.0
515,1.3305,0.0,0.0
516,1.3322,0.0,0.0
