,trend,residual,seasonality
0,133.26,0.0,0.0
1,133.44,0.0,0.0
2,131.77,0.0,0.0
3,133.09,0.0,0.0
4,133.59,0.0,0.0
5,133.53,0.0,0.0
6,133.61,0.0,0.0
7,131.84,0.0,0.0
8,132.64,0.0,0.0
9,132.24,0.0,0.0
10,130.6,0.0,0.0
11,130.59,0.0,0.0
12,130.29,0.0,0.0
13,128.69,0.0,0.0
14,127.43,0.0,0.0
15,127.12,0.0,0.0
16,127.69,0.0,0.0
17,126.18,0.0,0.0
18,126.22,0.0,0.0
19,125.53,0.0,0.0
20,125.17,0.0,0.0
21,126.26,0.0,0.0
22,126.2,0.0,0.0
23,126.47,0.0,0.0
24,122.21,0.0,0.0
25,122.09,0.0,0.0
26,121.94,0.0,0.0
27,123.62,0.0,0.0
28,123.52,0.0,0.0
29,122.79,0.0,0.0
30,122.6,0.0,0.0
31,122.38,0.0,0.0
32,124.08,0.0,0.0
33,124.27,0.0,0.0
34,124.22,0.0,0.0
35,124.73,0.0,0.0
36,123.92,0.0,0.0
37,121.88,0.0,0.0
38,122.05,0.0,0.0
39,120.74,0.0,0.0
40,121.1,0.0,0.0
41,120.82,0.0,0.0
42,120.76,0.0,0.0
43,121.18,0.0,0.0
44,120.98,0.0,0.0
45,123.0,0.0,0.0
46,123.03,0.0,0.0
47,122.37,0.0,0.0
48,123.61,0.0,0.0
49,123.82,0.0,0.0
50,124.5,0.0,0.0
51,123.8,0.0,0.0
52,124.37,0.0,0.0
53,124.04,0.0,0.0
54,122.94,0.0,0.0
55,122.54,0.0,0.0
56,122.16,0.0,0.0
57,122.11,0.0,0.0
58,122.83,0.0,0.0
59,123.11,0.0,0.0
60,124.05,0.0,0.0
61,124.62,0.0,0.0
62,124.55,0.0,0.0
63,126.31,0.0,0.0
64,127.5,0.0,0.0
65,127.76,0.0,0.0
66,127.19,0.0,0.0
67,125.63,0.0,0.0
68,124.56,0.0,0.0
69,124.78,0.0,0.0
70,125.78,0.0,0.0
71,126.67,0.0,0.0
72,126.91,0.0,0.0
73,127.28,0.0,0.0
74,126.36,0.0,0.0
75,124.43,0.0,0.0
76,124.67,0.0,0.0
77,125.31,0.0,0.0
78,124.68,0.0,0.0
79,124.22,0.0,0.0
80,125.74,0.0,0.0
81,125.88,0.0,0.0
82,122.61,0.0,0.0
83,124.28,0.0,0.0
84,124.34,0.0,0.0
85,124.78,0.0,0.0
86,124.75,0.0,0.0
87,122.84,0.0,0.0
88,120.32,0.0,0.0
89,114.61,0.0,0.0
90,116.88,0.0,0.0
91,119.26,0.0,0.0
92,117.31,0.0,0.0
93,117.62,0.0,0.0
94,116.12,0.0,0.0
95,114.34,0.0,0.0
96,114.75,0.0,0.0
97,112.24,0.0,0.0
98,113.92,0.0,0.0
99,111.69,0.0,0.0
100,113.19,0.0,0.0
101,111.37,0.0,0.0
102,111.67,0.0,0.0
103,109.32,0.0,0.0
104,112.65,0.0,0.0
105,111.74,0.0,0.0
106,112.28,0.0,0.0
107,111.28,0.0,0.0
108,112.93,0.0,0.0
109,112.66,0.0,0.0
110,110.08,0.0,0.0
111,108.83,0.0,0.0
112,109.61,0.0,0.0
113,109.41,0.0,0.0
114,110.63,0.0,0.0
115,111.01,0.0,0.0
116,111.87,0.0,0.0
117,112.66,0.0,0.0
118,112.53,0.0,0.0
119,112.66,0.0,0.0
120,112.35,0.0,0.0
121,112.0,0.0,0.0
122,111.1,0.0,0.0
123,110.66,0.0,0.0
124,110.46,0.0,0.0
125,110.44,0.0,0.0
126,109.73,0.0,0.0
127,107.88,0.0,0.0
128,108.19,0.0,0.0
129,109.69,0.0,0.0
130,110.26,0.0,0.0
131,110.05,0.0,0.0
132,110.56,0.0,0.0
133,110.82,0.0,0.0
134,112.21,0.0,0.0
135,111.97,0.0,0.0
136,111.61,0.0,0.0
137,112.86,0.0,0.0
138,112.7,0.0,0.0
139,113.17,0.0,0.0
140,112.02,0.0,0.0
141,112.25,0.0,0.0
142,112.73,0.0,0.0
143,111.09,0.0,0.0
144,112.06,0.0,0.0
145,112.89,0.0,0.0
146,112.91,0.0,0.0
147,114.21,0.0,0.0
148,113.59,0.0,0.0
149,113.52,0.0,0.0
150,112.82,0.0,0.0
151,114.03,0.0,0.0
152,113.48,0.0,0.0
153,113.57,0.0,0.0
154,113.2,0.0,0.0
155,113.6,0.0,0.0
156,113.69,0.0,0.0
157,112.58,0.0,0.0
158,109.38,0.0,0.0
159,110.28,0.0,0.0
160,109.93,0.0,0.0
161,109.5,0.0,0.0
162,110.18,0.0,0.0
163,109.85,0.0,0.0
164,109.43,0.0,0.0
165,108.81,0.0,0.0
166,107.69,0.0,0.0
167,106.06,0.0,0.0
168,107.07,0.0,0.0
169,107.45,0.0,0.0
170,108.78,0.0,0.0
171,107.16,0.0,0.0
172,106.82,0.0,0.0
173,108.18,0.0,0.0
174,108.12,0.0,0.0
175,108.73,0.0,0.0
176,108.38,0.0,0.0
177,106.3,0.0,0.0
178,106.7,0.0,0.0
179,106.42,0.0,0.0
180,106.73,0.0,0.0
181,107.79,0.0,0.0
182,107.94,0.0,0.0
183,111.5,0.0,0.0
184,112.14,0.0,0.0
